la	lb
fern1234	bube1242
fero1244	ajas1235
fiji1243	fiji1242
fili1244	capi1239
fina1242	amga1235
fina1242	bala1310
finn1310	finl1235
finn1318	finl1235
fira1238	bero1242
fira1238	eten1239
fiwa1240	erav1244
flin1247	barr1247
foau1240	abin1243
foii1241	anga1294
foii1241	fasu1242
foii1241	fiwa1240
folo1238	dadi1250
fonn1241	agun1238
fonn1241	ajab1235
fora1245	asar1240
fora1245	dege1247
fore1265	dolg1241
fore1270	awap1236
fort1240	ambl1237
fort1240	bisl1239
fran1264	east2288
fran1266	copa1236
fren1243	basq1248
fung1245	bauc1238
furr1244	birk1242
futu1245	east2447
fuyu1242	bina1277
fyer1241	fyam1238
gaaa1245	dong1293
gaam1241	akaa1242
gaan1243	bura1292
gadd1242	cham1307
gade1236	bazi1237
gade1236	braj1242
gade1236	bund1253
gade1242	eloy1241
gads1258	agar1252
gafa1240	amha1245
gafa1240	argo1244
gaga1251	erre1238
gagn1235	gabo1234
gagu1242	gagn1235
gaik1242	buru1309
gail1235	camt1236
gain1243	bari1290
gala1264	beel1236
gala1264	dugu1249
gale1257	dobu1241
gali1261	chin1286
gali1262	araw1276
gall1276	cors1241
gall1278	baim1245
gamb1251	bilb1242
gamb1252	bain1261
gami1242	chod1238
gami1243	biga1237
gamo1243	dorz1235
gana1268	dhud1236
gana1270	dyar1234
gana1270	fyam1238
gana1277	coas1294
ganc1239	anyi1247
gane1237	baca1243
gang1268	biri1256
gang1268	dhar1248
gang1270	dumu1246
gant1244	aiom1240
ganz1246	bamb1262
ganz1246	bert1248
ganz1246	boro1277
gaoo1237	bugh1239
gaoo1237	chek1238
gapa1238	anuk1239
gapa1238	aree1239
garh1243	chit1279
garo1247	aton1241
gata1239	bodo1266
gava1241	buwa1243
gaww1239	bira1253
gayi1237	aari1239
gayi1237	bask1236
gayi1237	dime1235
gayo1244	achi1257
gayo1244	bata1292
gazi1243	dezf1238
gbag1258	ashe1269
gbag1258	dibo1247
gban1260	alii1240
gban1260	boko1261
gbar1246	ebir1243
gbay1278	band1344
gbay1286	gban1260
gbay1288	ajas1235
gbay1288	band1345
gbes1238	ayiz1245
gbin1239	bond1246
gbin1239	boun1243
gbir1241	amoo1242
gbol1235	cent2041
geez1241	argo1244
geez1241	east2652
geic1236	cane1242
geic1236	dzub1241
geko1235	geba1237
